Sector,States,Domain,Note
judicial branch,['kansas'],kscourts.org,Kansas Judicial Branch -- Note added 7/9/14 4:40
department transportation,['kansas'],ksdot.org,Kansas Department of Transportation -- Note added 3/20/14 15:35
historical society,['kansas'],kshs.org,Kansas Historical Society -- Note added 7/9/14 4:41
state legislature,['kansas'],kslegislature.org,Kansas State Legislature -- Note added 7/9/14 4:42
Unknown,['kansas'],kslottery.com,Kansas Lottery -- Note added 6/12/13 14:09
department revenue,['kansas'],ksrevenue.org,Kansas Department of Revenue -- Note added 7/9/14 4:44
office secretary,['kansas'],kssos.org,"Office of the Secretary of State, State of Kansas -- Note added 7/23/14 15:51"
department agriculture,['kentucky'],kyagr.com,Kentucky Department of Agriculture -- Note added 7/5/13 17:39
convention center,[],kyconvention.org,ky convention center  -- Note added 8/27/15 16:39
Unknown,['kentucky'],kyepsb.net,Kentucky Education Professional Standards Board -- Note added 7/5/13 17:38
Unknown,[],kyfairexpo.org,KY expo center -- Note added 8/27/15 16:41
Unknown,['kentucky'],kylottery.com,Kentucky Lottery -- Note added 6/12/13 14:10
Unknown,[],kytreasury.com,KY Treasury -- Note added 8/27/15 16:42
board examiners,[],labenfa.com,LA Board of Examiners of Nursing Facility Administrators -- Note added 9/22/15 20:03
board massage,['louisiana'],labmt.org,Louisiana Board of Massage Therapy -- Note added 11/12/15 17:36
board pharmacy,['louisiana'],labp.com,Louisiana Board of Pharmacy -- Note added 8/24/15 14:41
state board,['louisiana'],labswe.org,Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41
state board,['louisiana'],lachiropracticboard.com, Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42
information services,['louisiana'],lacisd.org,The Council of Information Services Directors for Louisiana -- Note added 8/24/15 14:43
board examiners,['louisiana'],lacourtreporterboard.com,Louisiana Board of Examiners of Certified Shorthand Reporters -- Note added 9/23/15 12:16
developmental disabilities,['louisiana'],laddc.org,Louisiana Developmental Disabilities Council -- Note added 9/23/15 13:30
"commission ,",['louisiana'],laeggs.com,"Louisiana Egg Commission, Louisiana Department of Agriculture & Forestry  -- Note added 9/23/15 14:53"
licensing board,['louisiana'],lalb.org,Louisiana Auctioneers Licensing Board -- Note added 9/23/15 16:37
Unknown,['louisiana'],lapels.com,Louisiana Professional Engineering and Land Surveying Board -- Note added 8/24/15 14:46
physical therapy,['louisiana'],laptboard.org,Louisiana Physical Therapy Board -- Note added 8/24/15 14:46
supreme court,['louisiana'],lasc.org,Louisiana Supreme Court -- Note added 9/23/15 16:38
state board,['louisiana'],lastbdarchs.com,Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13
commission (,['louisiana'],laworks.net,Louisiana Workforce Commission (LAWorks) -- Note added 9/23/15 16:41
board examiners,['louisiana'],lbedn.org,Louisiana Board of Examiners in Dietetics and Nutrition  -- Note added 8/24/15 14:48
speech language,['louisiana'],lbespa.org,Louisiana board of speech language pathology -- Note added 8/24/15 14:51
virgin islands,['virgin islands'],legvi.org,Legislature of the Virgin Islands -- Note added 8/18/14 14:07
league municipalities,['kansas'],lkm.org,League of Kansas Municipalities -- Note added 7/9/14 4:50
south carolina,['south carolina'],llronline.com,"South Carolina Department of Labor, Licensing and Regulation -- Note added 1/17/14 15:50"
league cities,['minnesota'],lmc.org,"League of Minnesota Cities Per the 'About the League' section of their website, LMC is 'a membership organization dedicated to promoting excellence in local government.'  -- Note added 4/26/15 4:37"
Unknown,['puerto rico'],loteriaelectronicapr.com,LoterÃ­a ElectrÃ³nica de Puerto Rico -- Note added 6/12/13 14:11
community development,['louisiana'],louisianacda.com,Louisiana Community Development Authority -- Note added 9/23/15 12:18
Unknown,['louisiana'],louisianalottery.com,Louisiana Lottery Corporation -- Note added 6/12/13 14:13
board .,['louisiana'],louisianaseafood.com,"Louisiana Seafood Board. In 1984, the State of Louisiana created the Louisiana Seafood Promotion & Marketing Board. For more information see https://www.legis.la.gov/legis/BoardMembers.aspx?boardId=355. -- Note added 11/12/15 15:08"
Unknown,['louisiana'],louisianataxfree.com,Louisiana Tax Free Shopping Commission -- Note added 9/23/15 16:44
travel tourism,['louisiana'],louisianatravel.com,Travel and Tourism Site for Louisiana -- Note added 6/6/13 19:40
licensed professional,[],lpcboard.org,Licensed Professional Counselors Board of Examiners -- Note added 8/24/15 14:53
Unknown,['louisiana'],lpgov.org,Police Jury Association of Louisiana -- Note added 7/23/13 19:36
board examiners,[],lrcboard.org,LLPVRC Board of Examiners -- Note added 8/24/15 14:54
state board,['louisiana'],lsbep.org,Louisiana State Board of Examiners of Psychologists   -- Note added 8/24/15 14:55
state board,['louisiana'],lsbes.org,Louisiana State Board of Examiners for Sanitarians -- Note added 9/23/15 16:47
state board,['louisiana'],lsbid.org,Louisiana State Board of Examiners of Interior Designers -- Note added 9/23/15 16:48
board massage,['louisiana'],lsbmt.org,Louisiana Board of Massage Therapy -- Note added 11/12/15 17:34
state board,['louisiana'],lsbpie.com,Louisiana State Board of Private Investigator Examiners -- Note added 8/24/15 14:55
state board,['louisiana'],lsbpne.com,LOUISIANA STATE BOARD OF PRACTICAL NURSE EXAMINERS -- Note added 8/24/15 14:56
Unknown,['louisiana'],lsbvm.org,Louisiana Board of Veterinary Medicine -- Note added 8/24/15 14:56
Unknown,['louisiana'],lsbwdd.org,Louisiana Board of Drug and Device Distributors -- Note added 8/24/15 14:57
Unknown,[],lsuagcenter.com,LSU Ag Center -- Note added 8/24/15 14:57
league municipalities,['wisconsin'],lwm-info.org,League of Wisconsin Municipalities -- Note added 8/5/14 6:00
Unknown,['maine'],mainehistory.org,maine history -- Note added 8/27/15 18:29
state housing,['maine'],mainehousing.org,maine state housing authority -- Note added 8/27/15 18:30
state lottery,['maine'],mainelottery.com,Maine State Lottery - www.mainelottery.com -- Note added 6/12/13 14:14
Unknown,['maine'],maineturnpike.com,maine turnpike authority -- Note added 8/27/15 18:30
Unknown,['maryland'],marylandtaxes.com,Comptroller of Maryland -- Note added 5/27/14 3:01
Unknown,[],massbudget.org,Mass budget & policy Center -- Note added 8/26/15 16:11
Unknown,[],massculturalcouncil.org,Ma cultural Council -- Note added 8/26/15 16:11
historical society,[],masshist.org,Mass historical society -- Note added 8/26/15 16:12
state lottery,[],masslottery.com,Massachuetts State Lottery -- Note added 6/12/13 14:14
travel tourism,['massachusetts'],massvacation.com,Travel and Tourism Site for Massachusetts -- Note added 6/6/13 19:40
state agency,['montana'],mbmg.mtech.edu,"Montana Bureau of Mines and Geology, a nonregulatory state agency -- Note added 11/22/13 13:34"
", department",['maryland'],md511.org,"Maryland 511 Traveller Information, Maryland Department of Transportation -- Note added 1/26/15 12:49"
Unknown,['maine'],mdf.org,maine development foundation -- Note added 8/27/15 18:31
community development,['maryland'],mdhousing.org,Maryland Department of Housing and Community Development -- Note added 6/6/13 18:08
", office",['maryland'],mdkidspage.org,"Maryland Kids Page, Office of the Secretary of State -- Note added 6/6/13 18:08"
Unknown,['maryland'],mdlottery.com,Maryland Lottery -- Note added 6/12/13 14:14
Unknown,['maryland'],mdstad.com,Maryland Stadium Authority -- Note added 5/27/14 3:08
department wildlife,['mississippi'],mdwfp.com,"Mississippi Department of Wildlife, Fisheries, and Parks -- Note added 7/25/14 12:41"
employees ',[],mersofmich.com,Municipal Employees' Retirement System -- Note added 9/3/15 15:37
program (,['montana'],mgslp.org,"Montana Guaranteed Student Loan Program (MGSLP), a program within the Office of the Commissioner of Higher Education -- Note added 11/22/13 13:35"
mental health,['alaska'],mhtrust.org,Alaska Mental Health Trust Authority -- Note added 6/6/13 18:08
mental health,['alaska'],mhtrustland.org,Alaska Mental Health Trust Land Office -- Note added 6/6/13 18:08
travel tourism,['michigan'],michigan.org,Travel and Tourism Site for Michigan -- Note added 6/6/13 19:41
humanities council,['michigan'],michiganhumanities.org,michigan humanities council -- Note added 9/3/15 15:38
Unknown,['michigan'],michiganlottery.com,Michigan Lottery -- Note added 12/17/14 12:25
Unknown,['michigan'],midnrreservations.com,Michigan State Park and Harbor Reservations  -- Note added 9/3/15 15:41
Unknown,['michigan'],milotteryconnect.com,Michigan Lottery Connect (Blog) -- Note added 12/17/14 12:29
national guard,['michigan'],minationalguard.com,Michigan National Guard -- Note added 1/23/14 14:03
national guard,['minnesota'],MinnesotaNationalGuard.org,Minnesota National Guard URL must have 'www' to resolve  -- Note added 4/26/15 5:37
development authority,['mississippi'],mississippi.org,Mississippi Development Authority -- Note added 7/25/14 12:42
state parks,['mississippi'],mississippistateparks.reserveamerica.com,Campgrounds and Camping at Mississippi State Parks -- Note added 3/20/14 16:45
"books ,",['missouri'],missouribooks.org,"Missouri Center for the Books, an affiliate of the national Center for the Book in the Library of Congress, which was established by law in 1977 to strengthen and celebrate the vital role of books, reading, and libraries in the cultural life of the nation. -- Note added 1/13/14 19:38"
"division ,",['missouri'],missourifamilies.org,"MissouriFamilies is produced by the College of Human Environmental Sciences, Extension Division, University of Missouri -- Note added 1/10/14 19:17"
association watershed,['minnesota'],mnwatershed.org,"Minnesota Association of Watershed Districts, Inc. Per the 'What is MAWD?' section of their website, 'the Minnesota Association of Watershed Districts provides educational opportunities, information and training for watershed district managers and staff through yearly tours, meetings and quarterly newsletters.' -- Note added 4/26/15 5:42"
national guard,['missouri'],moguard.com,Missouri National Guard -- Note added 1/23/14 14:03
Unknown,['missouri'],molottery.com,Missouri Lottery -- Note added 6/12/13 14:15
state treasury,['alabama'],moneyquestalabama.com,The Alabama State Treasury's official website for unclaimed property searches -- Note added 6/6/13 18:08
", official",['montana'],montanakids.com,"Montana Kids, an official state site of the http://visitmt.com/ Montana Office of Tourism. -- Note added 11/22/13 13:38"
Unknown,['montana'],montanalottery.com,Montana Lottery -- Note added 6/12/13 14:15
state fund,['montana'],montanastatefund.com,"Montana State Fund, created by the state legislature in 1990 to create a fair and equitable system of workers' compensation insurance. -- Note added 11/18/13 16:26"
combined federal,[],mountainstatecfc.org,Mountain State Combined Federal Campaign -- Note added 7/24/14 5:41
industries blind,['mississippi'],msblind.org,"Mississippi Industries for the Blind, a state agency of Mississippi -- Note added 7/25/14 12:47"
state board,['mississippi'],msboc.us,Mississippi State Board of Contractors -- Note added 7/25/14 12:48
Unknown,['mississippi'],msboxing.org,Mississippi Athletic Commission -- Note added 7/25/14 12:49
state commission,['maryland'],msccsp.org,Maryland State Commission on Criminal Sentencing Policy -- Note added 5/27/14 3:25
emergency management,['mississippi'],msema.org,Mississippi Emergency Management Agency -- Note added 7/25/14 12:51
Unknown,['mississippi'],mshc.com,Mississippi Home Corporation -- Note added 7/25/14 12:52
state university,['mississippi'],msucares.com,Mississippi State University Extension -- Note added 7/25/14 12:52
state university,['michigan'],msue.anr.msu.edu,Michigan State University Extension -- Note added 11/19/13 13:43
state university,['montana'],msuextension.org,Montana State University Extension -- Note added 11/22/13 13:44
finance authority,['montana'],mtfacilityfinance.com,"Montana Facility Finance Authority, MT Department of Commerce -- Note added 11/22/13 13:46"
information center,['montana'],mtfinanceonline.com,"Montana Finance Information Center, MT Department of Commerce -- Note added 11/22/13 13:55"
Unknown,['arkansas'],myarkansaslottery.com,Arkansas Scholarship Lottery -- Note added 6/12/13 14:17
official state,['florida'],myflorida.com,The official state portal of the State of Florida -- Note added 6/6/13 18:08
department financial,['florida'],myfloridacfo.com,Florida Department of Financial Services -- Note added 7/31/13 17:13
office attorney,['florida'],myfloridalegal.com,Florida Office of the Attorney General -- Note added 1/10/14 19:17
attorney general,['florida'],myfloridarx.com,Developed by the Florida Attorney General and the Agency for Health Care Administration (AHCA) to help consumers shop for the lowest price in their area for their prescription drugs. -- Note added 1/10/14 19:17
fish wildlife,['florida'],myfwc.com,Florida Fish and Wildlife Conservation Commission -- Note added 7/7/14 12:02
travel tourism,[],mymarianas.com,Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42
", government",['virgin islands'],nationalarchives.gov.vg,"National Archives and Records Management Unit, Government of the Virgin Islands -- Note added 8/18/14 14:03"
nc museum,[],naturalsciences.org,NC Museum of Natural Sciences -- Note added 11/12/15 15:15
developmental disabilities,[],nc-ddc.org,NC Council on Developmental Disabilities -- Note added 1/14/14 14:15
north carolina,['north carolina'],nc-educationlottery.org,North Carolina Education Lottery -- Note added 6/12/13 14:18
nc state,[],nc-sco.com,NC State Construction Office -- Note added 9/16/15 13:21
north carolina,['north carolina'],ncabc.com,North Carolina Alcoholic Beverage Control Commission -- Note added 9/11/15 20:30
nc agriculture,[],ncadfp.org,NC Agriculture Development & Farmland Preservation Trust Fund -- Note added 11/12/15 15:13
", emergency",['north carolina'],ncagrgis.com,"Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services -- Note added 7/26/13 15:42"
north carolina,['north carolina'],ncair.org,North Carolina Division of Air Quality -- Note added 3/20/14 15:16
north carolina,['north carolina'],ncalb.org,The North Carolina Auctioneers board -- Note added 9/11/15 20:32
nc court,[],ncappellatecourts.org,NC Court System  -- Note added 9/11/15 20:32
Unknown,[],ncappraisalboard.org,NC appraisal board -- Note added 9/11/15 20:33
Unknown,[],ncapt.tv,NC Triangle Public Access TV n  n  -- Note added 9/11/15 20:35
Unknown,[],ncaquariums.com,NC Aquariums -- Note added 9/11/15 20:35
nc museum,[],ncartmuseum.org,NC Museum of Art -- Note added 9/11/15 20:36
north carolina,['north carolina'],ncarts.org,North Carolina Arts Council -- Note added 11/20/13 12:24
assistive technology,[],ncatp.org,"NC Assistive technology Program - Receives grant funding under Public Law 108-364  through the Rehabilitation Services Administration, U.S. Department of Education, and is administered by the N.C. Department of Health and Human Services, Division of Vocational Rehabilitation Services -- Note added 11/12/15 15:02"
nc office,[],ncauditor.net,NC Office of the State Auditor -- Note added 1/14/14 13:12
north carolina,['north carolina'],ncbarch.org,North Carolina Board of Architecture -- Note added 9/11/15 20:37
nc board,[],ncbate.org,NC Board of Athletic Trainers Examiners -- Note added 9/11/15 20:38
north carolina,['north carolina'],ncbdn.org,North Carolina Board of Dietetics/Nutrition   -- Note added 9/11/15 20:38
nc board,[],ncbeec.org,NC Board of Examiners of electrical contractors -- Note added 9/11/15 20:39
nc board,[],ncbels.org,NC Board of Examiners for engineers and surveyors -- Note added 9/11/15 20:40
nc board,[],ncbenha.org,NC Board of Nursing Homes Administrators -- Note added 9/11/15 20:41
nc board,[],ncbfs.org,NC Board of Funeral Services -- Note added 9/11/15 20:41
nc board,[],ncble.org,NC Board of Law Examiners -- Note added 9/14/15 20:44
north carolina,['north carolina'],ncblg.org,The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27
north carolina,['north carolina'],ncblpc.org,The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28
north carolina,['north carolina'],ncblss.org,The North Carolina Soil Scientist Licensing Program -- Note added 9/14/15 20:28
nc board,[],ncboeslpa.org,NC Board of Examiners for Speech Language and Pathologist & Audiologist n  -- Note added 9/14/15 20:30
nc board,[],ncbola.org,Welcome to the NC Board of Landscape Architects -- Note added 9/14/15 20:31
nc board,[],ncbon.com,NC Board of Nursing -- Note added 9/14/15 20:31
nc board,[],ncbop.org,NC Board of Pharmacy -- Note added 9/14/15 20:32
north carolina,['north carolina'],ncbot.org,The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32
state north,['north carolina'],ncbpe.org,The Board of Podiatry Examiners for the State of North Carolina  -- Note added 9/14/15 20:32
waste management,[],ncbrownfields.org,NC Waste Management -- Note added 9/14/15 20:33
Unknown,[],ncbusinesscourt.net,nc business court -- Note added 9/14/15 20:33
nc school,[],ncbussafety.org,NC School bus Safety -- Note added 9/14/15 20:34
"division ,",['north carolina'],ncbytrain.org,"Rail Division, North Carolina Department of Transportation -- Note added 7/24/13 16:07"
north carolina,['north carolina'],nccbsw.org,North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:10
north carolina,['north carolina'],nccgl.net,"The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. -- Note added 9/14/15 20:47"
Unknown,[],ncchildsupport.com,NC Child Support Enforcement -- Note added 9/14/15 20:36
north carolina,['north carolina'],ncchiroboard.com,North Carolina Board of Chiropractic Examiners -- Note added 9/14/15 20:37
north carolina,['north carolina'],nccivilwar150.com,"North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54"
nc division,[],nccoastalmanagement.net,NC Division of Coastal Management -- Note added 1/14/14 14:16
", nc",[],nccoastalreserve.net,"NC Coastal Reserve and National Estuarine Research Reserve, NC DEQ -- Note added 11/12/15 14:51"
north carolina,['north carolina'],nccob.org,North Carolina Office of the Commissioner of Banks (NCCOB) -- Note added 11/19/13 18:51
north carolina,['north carolina'],nccommerce.com,North Carolina Department of Commerce -- Note added 7/24/13 16:42
nc court,[],nccourts.org,nc court system -- Note added 9/14/15 20:38
nc dept,[],nccrimecontrol.org,NC Dept of Public Safety -- Note added 9/14/15 20:39
n.c. department,[],ncdenr.org,N.C. Department of Environment and Natural Resources -- Note added 7/24/13 16:27
north carolina,['north carolina'],ncdentalboard.org,North Carolina State Board of Dental Examiners -- Note added 9/14/15 20:40
north carolina,['north carolina'],ncdiabetes.org,"This site is a tool for North Carolina citizens and providers to reduce the impact of diabetes through leadership, education, communication and community involvement. -- Note added 9/14/15 20:41"
governor 's,['north carolina'],ncdisasterrelief.org,"The NC Helping Neighbors Fund is managed by the Governor's Office, in partnership with United Way of North Carolina. Donations are tax deductible; 100% of donated funds will go to the states impacted by Hurricane Sandy. -- Note added 9/14/15 20:48"
juvenile justice,[],ncdjjdp.org," Juvenile Justice section of the N.C. Department of Public Safety, Division of Adult Correction and Juvenile Justice.  -- Note added 9/15/15 16:00"
division marine,[],ncdmf.net,"Division of Marine Fisheries, NC DENR -- Note added 11/12/15 14:07"
marine fisheries,[],ncdmfstore.net,NC Marine Fisheries Commission Store -- Note added 11/12/15 14:39
nc division,[],ncdnpe.org,NC Division of Non Public Education -- Note added 9/15/15 16:01
north carolina,['north carolina'],ncdoi.com,North Carolina Department of Insurance -- Note added 11/19/13 20:06
Unknown,[],ncdoj.com,Dept of Justice -- Note added 9/15/15 16:04
north carolina,['north carolina'],ncdrought.org,North Carolina Drought Management Advisory Council -- Note added 11/12/15 14:05
nc denr,[],ncdsca.org,NC DENR's Division of Waste Management -- Note added 11/12/15 13:55
north carolina,['north carolina'],ncems.org,The North Carolina Office of EMS -- Note added 9/15/15 16:07
north carolina,['north carolina'],ncesf.org,The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. -- Note added 9/15/15 16:34
management division,[],ncfacilitymanagement.net,"Facility Management Division, NC DOA -- Note added 11/12/15 13:45"
north carolina,['north carolina'],ncfarmfresh.com,"North Carolina Farm Fresh is a directory of pick-your-own farms, roadside farm markets, and farmers markets throughout North Carolina. It is designed to help the consumer, find the freshest locally grown fruits, vegetables, christmas trees, ornamental plants, flowers, and herbs. -- Note added 9/15/15 16:34"
"program ,",['north carolina'],ncfarmtoschool.com,"NC Farm to School program, North Carolina Department of Agriculture and Consumer Services -- Note added 6/12/13 18:34"
north carolina,['north carolina'],ncfhp.org,"North Carolina Farmworker Health Program (NCFHP), a statewide Migrant Health Voucher Program within the Office of Rural Health -- Note added 11/12/15 13:44"
film office,[],ncfilm.com,NC Film Office -- Note added 9/15/15 16:35
north carolina,['north carolina'],ncfirewise.org,"Firewise North Carolina, North Carolina Forest Service -- Note added 6/12/13 18:15"
division marine,[],ncfisheries.net,Division of Marine Fisheries  -- Note added 9/15/15 16:36
Unknown,[],ncfloodmaps.com,NC flood risk information system -- Note added 9/15/15 16:37
Unknown,[],ncforeclosurehelp.org,NC Foreclosure Prevention Fund -- Note added 11/12/15 13:43
north carolina,['north carolina'],ncforestactionplan.com,"North Carolina Forest Action Plan, North Carolina Forest Service -- Note added 11/12/15 13:40"
north carolina,['north carolina'],ncforestassessment.com,North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  -- Note added 11/12/15 13:39
Unknown,[],ncfreshlink.com,NC Fresh Produce Information site -- Note added 9/15/15 16:37
state north,['north carolina'],ncgov.com,State of North Carolina -- Note added 1/14/14 13:05
governor 's,['north carolina'],ncgovschool.org,"Governor's School of North Carolina, NC Department of Public Instruction -- Note added 6/12/13 18:35"
north carolina,['north carolina'],ncgtp.com,The North Carolina Global TransPark -- Note added 9/15/15 16:39
Unknown,[],nchalb.org,NC hearing Aid Dealers -- Note added 9/15/15 16:39
nc health,[],nchan.org,NC Health & Human Services -- Note added 9/15/15 16:39
Unknown,[],nchealthyschools.org,NC Healthy School Website -- Note added 9/15/15 16:41
housing finance,[],nchfa.com,NC Housing Finance Agency  -- Note added 9/15/15 16:42
north carolina,['north carolina'],nchilb.com,North Carolina Home Inspetor Licensure Board -- Note added 11/20/13 12:38
Unknown,[],nchistoricsites.org,NC Historic Sites -- Note added 9/15/15 16:42
Unknown,[],ncids.org,Office of Indigent Defense Services  -- Note added 9/15/15 16:43
Unknown,[],ncih.net,NC International House -- Note added 9/15/15 16:44
Unknown,[],nciom.org,NC Institute of Medecine -- Note added 9/15/15 16:45
north carolina,['north carolina'],ncitlb.org,The North Carolina Interpreters & Transliterators Licensing Board -- Note added 9/15/15 16:45
north carolina,['north carolina'],ncknows.org,NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries. -- Note added 11/12/15 13:22
nc dept,[],nclabor.com,NC Dept of Labor -- Note added 9/15/15 16:45
Unknown,[],ncleg.net,NC Generla Assembly  -- Note added 9/15/15 16:46
north carolina,['north carolina'],nclicensing.org,"North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46"
lifetime income,[],nclifetimeincome.org,NC Lifetime Income - Members of the Teachers' and State Employees' Retirement System (TSERS) and Local Governmental Employees' Retirement System (LGERS) will have a one-time opportunity to transfer all or part of their NC 401(k) and/or NC Deferred Compensation (457) funds to the Retirement System in order to receive lifetime income at or after retirement. -- Note added 11/12/15 13:21
nc public,[],nclive.org,NC Public Library -- Note added 9/15/15 16:47
north carolina,['north carolina'],nclm.org,North Carolina League of Municipalities -- Note added 6/6/13 18:08
north carolina,['north carolina'],nclmft.org,the board of Marriage and family therapy of North Carolina -- Note added 9/15/15 16:48
north carolina,['north carolina'],nclocksmithboard.org,The North Carolina Locksmith Licensing Board -- Note added 9/15/15 16:48
state north,['north carolina'],ncmail.net,State of North Carolina Office of Information Technology Services -- Note added 9/15/15 16:49
north carolina,['north carolina'],ncmaritimemuseums.com,North Carolina Maritime Museum System -- Note added 8/2/13 15:50
north carolina,['north carolina'],ncmarkers.com,"North Carolina Highway Historical Marker Program, NC Department of Cultural Resources -- Note added 11/12/15 13:19"
medical board,[],ncmedboard.org,NC Medical Board -- Note added 9/15/15 16:53
nc division,[],ncmedicaidpbm.com,NC Division of Medical Assistance -- Note added 9/15/15 16:54
Unknown,[],ncminorityhealth.org,N.C. Office of Minority Health and Health Disparities -- Note added 9/15/15 16:55
Unknown,[],ncmotorfleet.com,NC Motor fleet management -- Note added 9/15/15 16:55
health care,[],ncnar.org,The N.C. Health Care Personnel Registry Section   -- Note added 9/15/15 16:56
program (,[],ncnewbornhearing.org,Early Hearing Detection and Intervention Program (NC DHHS &gt; DPH &gt; WCH Section &gt; Children and Youth Branch) -- Note added 11/12/15 13:18
north carolina,['north carolina'],ncnhp.org,The North Carolina Natural Heritage Program -- Note added 9/15/15 16:56
", north",['north carolina'],ncnhtf.org,"Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15"
north carolina,['north carolina'],ncoah.com,North Carolina Office of Administrative Hearings -- Note added 9/15/15 16:57
Unknown,[],ncoes.net,Welcome to the Grand Chapter of NC Order of the Eastern Star -- Note added 9/15/15 16:57
nc onemap,['north carolina'],nconemap.com,NC OneMap is a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. -- Note added 9/15/15 16:58
nc onemap,['north carolina'],nconemap.net,"NC OneMap, a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. -- Note added 11/12/15 13:13"
north carolina,['north carolina'],ncoptometry.org,he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58
( nc,[],ncpanbranch.com,"NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12"
Unknown,[],ncports.com,NC ports  -- Note added 9/15/15 17:03
Unknown,[],ncprogress.org,NC Progress Portal -- Note added 9/15/15 17:03
Unknown,[],ncpsychologyboard.org,nc psychology board -- Note added 9/15/15 17:03
north carolina,['north carolina'],ncptboard.org,The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04
", north",['north carolina'],ncpublications.com,"Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com -- Note added 6/6/13 18:34"
north carolina,['north carolina'],ncpublichealth.com,North Carolina Division of Public Health -- Note added 7/26/13 15:09
nc public,[],ncpublicschools.org,nc public schools -- Note added 9/15/15 17:05
"section ,",[],ncradiation.net,"Radiation Protection Section, NC Department of Health and Human Services -- Note added 1/14/14 14:18"
Unknown,[],ncradon.org,NC Radon Awarenes Site -- Note added 9/15/15 17:05
compensation insurance,[],ncrb.org,"We serve the NC insurance industry by providing services and programs for automobile, property and workers compensation insurance. This site contains information for these types of insurance. -- Note added 9/15/15 17:06"
north carolina,['north carolina'],ncrcb.org,the North Carolina Respiratory Care   -- Note added 9/15/15 17:13
north carolina,['north carolina'],ncrea.net,North Carolina Rural Electrification Authority -- Note added 9/15/15 17:14
nc state,[],ncrehs.com,NC State Board of Environmental Health Specialist Examiners -- Note added 11/19/13 20:40
Unknown,[],ncreportcards.org,nc report cards for schools -- Note added 9/15/15 17:16
Unknown,[],ncscienceandtechnology.com,nc science and technology -- Note added 9/15/15 17:17
nc school,[],ncsd.net,NC School for the deaf -- Note added 9/15/15 17:17
nc state,[],ncsecc.org,NC State Employees Combined Campaign -- Note added 9/15/15 17:18
north carolina,['north carolina'],ncshiip.com,North Carolina Seniors' Health Insurance Information Program (SHIIP) -- Note added 1/22/14 19:19
north carolina,['north carolina'],ncsicklecellprogram.org,"North Carolina Sickle Cell Syndrome Program, NC Department of Public Health -- Note added 11/12/15 13:09"
north carolina,['north carolina'],ncsip.org,The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19
north carolina,['north carolina'],ncsitesearch.com,"Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. -- Note added 9/15/15 17:19"
", management",[],ncstars.org,"The Carolina Star Program is designed to recognize and promote effective safety and health management systems. In Star, management, labor and OSH establish a cooperative relationship at a workplace that has implemented a strong program. -- Note added 9/15/15 17:20"
nc state,[],ncstatefair.org,NC state Fair -- Note added 9/15/15 17:20
Unknown,[],ncstormwater.org,NC Stormwater and Runoff pollution site -- Note added 9/15/15 17:22
nc state,[],ncsu.edu/extension,NC State Univ Extension  -- Note added 9/15/15 17:22
